# Timestep	Vanish	Spread
0	571.000000	571.000000
1	247.400000	453.700000
2	125.600000	1213.600000
3	67.100000	1010.600000
4	35.700000	1283.600000
5	24.300000	1145.800000
6	17.200000	1217.700000
7	11.400000	1207.200000
8	6.100000	1171.800000
9	5.200000	1235.800000
10	2.200000	1177.500000
11	1.400000	1243.200000
12	0.300000	1152.700000
13	0.200000	1226.800000
14	0.400000	1229.600000
15	0.100000	1249.200000
16	0.000000	1212.200000
17	0.000000	1284.200000
18	0.000000	1142.900000
19	0.000000	1245.500000
20	0.000000	1189.300000
21	0.000000	1228.400000
22	0.000000	1238.300000
23	0.000000	1165.400000
24	0.000000	1269.600000
25	0.000000	1140.100000
26	0.000000	1248.200000
27	0.000000	1188.100000
28	0.000000	1201.500000
29	0.000000	1198.400000
30	0.000000	1225.300000
31	0.000000	1202.800000
32	0.000000	1200.800000
33	0.000000	1220.200000
34	0.000000	1180.800000
35	0.000000	1229.200000
36	0.000000	1184.400000
37	0.000000	1211.300000
38	0.000000	1205.200000
39	0.000000	1238.200000
40	0.000000	1174.000000
41	0.000000	1226.600000
42	0.000000	1182.400000
43	0.000000	1232.800000
44	0.000000	1173.400000
45	0.000000	1223.000000
46	0.000000	1184.000000
47	0.000000	1217.900000
48	0.000000	1183.400000
49	0.000000	1234.600000
50	0.000000	1147.800000
51	0.000000	1275.800000
52	0.000000	1189.000000
53	0.000000	1236.100000
54	0.000000	1177.400000
55	0.000000	1245.400000
56	0.000000	1164.000000
57	0.000000	1225.400000
58	0.000000	1202.400000
59	0.000000	1197.100000
60	0.000000	1238.300000
61	0.000000	1203.600000
62	0.000000	1235.200000
63	0.000000	1204.500000
64	0.000000	1213.300000
65	0.000000	1162.300000
66	0.000000	1259.000000
67	0.000000	1089.300000
68	0.000000	1280.400000
69	0.000000	1145.700000
70	0.000000	1241.100000
71	0.000000	1124.400000
72	0.000000	1273.100000
73	0.000000	1167.600000
74	0.000000	1232.200000
75	0.000000	1191.400000
76	0.000000	1229.400000
77	0.000000	1183.200000
78	0.000000	1221.400000
79	0.000000	1172.800000
80	0.000000	1264.500000
81	0.000000	1182.800000
82	0.000000	1181.200000
83	0.000000	1213.300000
84	0.000000	1207.200000
85	0.000000	1187.800000
86	0.000000	1227.400000
87	0.000000	1211.800000
88	0.000000	1178.200000
89	0.000000	1235.300000
90	0.000000	1207.400000
91	0.000000	1227.700000
92	0.000000	1178.300000
93	0.000000	1197.700000
94	0.000000	1215.000000
95	0.000000	1156.100000
96	0.000000	1195.600000
97	0.000000	1191.300000
98	0.000000	1213.400000
99	0.000000	1231.300000
100	0.000000	1161.900000
